Timestamp,Calitate aer,Temperatura,Umiditate,Geam Deschis,Locatie,Numar persoane,Ventilatie activa,Tip Incinta,Vreme,Trafic,Data,Timpul
2025-05-01 15:10:35+00:00,69.0,25.2,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:35
2025-05-01 15:10:37+00:00,69.0,25.8,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:37
2025-05-01 15:10:39+00:00,69.0,25.3,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:39
2025-05-01 15:10:41+00:00,68.0,25.6,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:41
2025-05-01 15:10:43+00:00,70.0,25.4,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:43
2025-05-01 15:10:45+00:00,67.0,25.6,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:45
2025-05-01 15:10:47+00:00,69.0,25.2,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:47
2025-05-01 15:10:49+00:00,67.0,25.6,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:49
2025-05-01 15:10:51+00:00,69.0,25.4,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:51
2025-05-01 15:10:53+00:00,69.0,25.9,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:53
2025-05-01 15:10:55+00:00,68.0,25.6,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:55
2025-05-01 15:10:57+00:00,70.0,25.2,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:57
2025-05-01 15:10:59+00:00,68.0,25.5,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:10:59
2025-05-01 15:11:02+00:00,69.0,25.1,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:11:02
2025-05-01 15:11:04+00:00,69.0,25.8,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:11:04
2025-05-01 15:11:06+00:00,70.0,25.6,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:11:06
2025-05-01 15:11:08+00:00,71.0,25.3,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:11:08
2025-05-01 15:11:10+00:00,70.0,25.6,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:11:10
